port,top_slack,tile_slack,slack_delta,driver_slack,receiver_slack,delay_split,available_time,driver_delay,receiver_delay,driver_efo,receiver_efo,efo_delta,route_ratio
p0,76.988831,66.929061,10.06,6.72148,60.207581,0.5488,195.322937,62.165039,51.099304,4.14,1.59,2.55,0.33
p1,33.891937,23.237103,10.65,2.478405,20.758698,0.4721,190.066864,69.849304,78.119812,2.4,3.43,1.03,0.14
p2,-13.027092,-31.504319,18.48,2.941962,-34.446281,0.4003,174.90924,67.103699,100.534119,2.28,1.25,1.03,0.47
p3,35.518185,20.011057,15.51,5.519076,14.491981,0.3024,180.955628,42.494995,98.018799,3.46,3.66,0.2,0.15
p4,2.273069,-8.360064,10.63,13.999837,-22.359901,0.3581,188.199402,66.172119,118.593994,4.59,2,2.59,0.42
p5,1.029372,-9.850168,10.88,12.849953,-22.700121,0.3608,188.03183,67.17337,118.998901,6.07,1.83,4.24,0.41
p6,-1.865874,-12.901951,11.04,11.868425,-24.770376,0.3598,188.435882,68.20047,121.346619,5.37,1.98,3.39,0.42
p7,2.409853,-8.64486,11.05,16.461498,-25.106358,0.3429,188.308593,63.4841,121.62915,5,2.02,2.98,0.42
p8,26.601328,16.357552,10.24,24.501614,-8.144062,0.3458,185.98053,54.558533,103.213684,4.06,1.63,2.43,0.42
p9,21.858311,10.904188,10.95,20.132128,-9.22794,0.3622,186.005249,59.069214,104.002258,5.4,1.69,3.71,0.4
p10,22.764679,11.703247,11.06,22.921877,-11.21863,0.3472,187.157562,56.752045,106.715027,3.68,1.71,1.97,0.43
p11,29.964806,18.719311,11.25,30.571613,-11.852302,0.3142,186.449463,48.856354,106.644775,5.49,1.92,3.57,0.44
p12,29.403641,17.233847,12.17,25.922714,-8.688867,0.3362,187.807678,53.332031,105.28717,10.41,1.64,8.77,0.4
p13,23.734217,12.393601,11.34,26.293488,-13.899887,0.3228,187.586426,52.711517,110.582214,6.25,1.63,4.62,0.46
p14,25.242939,14.168371,11.07,33.033115,-18.864744,0.2925,189.917877,47.926544,115.907288,4.83,1.69,3.14,0.47
p15,36.772198,24.006875,12.77,33.437099,-9.430224,0.309,189.791382,47.533478,106.27655,5.38,1.64,3.74,0.45
p16,27.65988,15.934141,11.73,33.232506,-17.298365,0.2931,189.667633,47.411469,114.344788,6.27,1.75,4.52,0.47
p17,46.490391,35.811532,10.68,28.903856,6.907676,0.343,199.817993,52.162567,99.910339,7.43,2.18,5.25,0.41
p18,54.495289,43.881533,10.61,28.578878,15.302655,0.3628,199.254212,52.084106,91.476929,7.77,1.75,6.02,0.4
p19,47.798054,36.322735,11.48,26.134682,10.188053,0.3587,198.560334,53.957123,96.486755,8.69,1.84,6.85,0.4
p20,48.083759,36.703974,11.38,29.431751,7.272223,0.3353,197.779511,50.141388,99.380676,6.45,1.75,4.7,0.43
p21,51.886848,40.582474,11.3,29.499453,11.083021,0.3438,196.628022,49.664734,94.778748,6.99,1.72,5.27,0.41
p22,48.105549,36.954651,11.15,26.196499,10.758152,0.3572,196.755982,52.968567,95.32135,6.68,1.6,5.08,0.43
p23,46.842575,35.39936,11.44,24.431768,10.967592,0.3646,196.261261,54.410553,94.823425,7.66,1.71,5.95,0.42
p24,46.862309,36.654931,10.21,27.072987,9.581944,0.3495,195.707367,51.543549,95.950989,6.66,1.7,4.96,0.43
p25,39.51432,28.294879,11.22,22.184269,6.11061,0.3607,195.910309,56.320679,99.815491,8.11,1.64,6.47,0.43
p26,45.907673,35.073307,10.83,28.981924,6.091383,0.334,197.862793,50.499969,100.715942,6.56,1.8,4.76,0.44
p27,48.991169,36.676509,12.31,29.129877,7.546632,0.3374,197.653503,50.435455,99.048035,7.05,1.58,5.47,0.43
p28,47.247883,35.571416,11.68,28.197683,7.373733,0.34,198.378754,51.451874,99.875793,7.26,1.58,5.68,0.44
p29,47.585331,35.895214,11.69,27.063702,8.831512,0.3479,198.62027,52.603302,98.597656,7.11,1.63,5.48,0.43
p30,41.345695,30.644856,10.7,28.805876,1.83898,0.3261,199.351043,51.240509,105.874939,7.84,1.8,6.04,0.44
p31,41.083309,30.243674,10.84,26.81543,3.428244,0.3389,199.677735,53.531708,104.431152,7.49,1.65,5.84,0.45
p32,37.494846,27.390333,10.1,25.949272,1.441061,0.3373,200.486939,54.499969,107.059204,7.59,1.81,5.78,0.45
p33,39.596222,29.016498,10.58,25.309896,3.706602,0.3472,201.009339,55.731079,104.802429,8.29,1.74,6.55,0.45
p34,50.610207,40.527934,10.08,34.984039,5.543895,0.3088,199.487243,45.439819,101.728638,6.13,1.51,4.62,0.43
p35,46.560249,35.651116,10.91,35.371811,0.279305,0.2964,199.008179,44.926453,106.656067,5.59,1.64,3.95,0.44
p36,41.546463,31.452333,10.09,29.54031,1.912023,0.3251,199.614776,50.748749,105.372681,5.43,1.81,3.62,0.45
p37,47.418575,37.320473,10.1,33.769516,3.550957,0.3084,199.080566,46.233856,103.701111,6.02,1.63,4.39,0.43
p38,33.167473,22.945872,10.22,34.983604,-12.037732,0.2743,199.139832,45.092865,119.30365,5.93,1.87,4.06,0.46
p39,31.207077,21.089067,10.12,33.635906,-12.546839,0.2766,199.247803,46.037109,120.389893,5.46,1.79,3.67,0.47
p40,19.709332,8.073437,11.64,32.898911,-24.825474,0.2589,199.723175,46.578674,133.33429,7.74,1.91,5.83,0.48
p41,23.413256,11.095501,12.32,26.976664,-15.881163,0.283,196.635559,49.161407,124.551819,8.51,1.9,6.61,0.46
p42,16.081268,3.869793,12.21,30.389187,-26.519394,0.2531,196.82367,45.891632,135.424255,7.41,1.93,5.48,0.49
p43,-4.801838,-16.140221,11.34,8.4381,-24.578321,0.3531,178.547211,62.731903,114.92981,3.34,2.29,1.05,0.43
p44,-11.148088,-21.36905,10.22,4.310815,-25.679865,0.379,179.22641,69.480316,113.860291,1.96,2.36,0.4,0.42
p45,22.55785,11.425785,11.13,9.099786,2.325999,0.432,179.896179,65.569855,86.205505,1.98,2.4,0.42,0.36
p46,21.458704,10.912806,10.55,9.751446,1.16136,0.4225,179.606262,64.004761,87.470825,1.97,2.47,0.5,0.34
p47,5.059507,-5.96958,11.03,5.023756,-10.993336,0.411,180.214325,69.558228,99.67157,2.71,2.21,0.5,0.39
p48,-6.342499,-16.830735,10.49,5.070274,-21.901009,0.3918,179.608154,69.590424,108.004333,2.14,2.3,0.16,0.41
p49,24.058325,13.434296,10.62,6.897602,6.536694,0.4396,179.869293,64.430481,82.132446,2.84,2.28,0.56,0.31
p50,-0.033514,-11.204352,11.17,8.56578,-19.770132,0.3616,179.641297,62.951721,111.130066,3.66,2.39,1.27,0.42
p51,11.013313,0.317829,10.7,8.989941,-8.672112,0.3908,177.510529,62.529907,97.456726,4.13,2.41,1.72,0.38
p52,4.492959,-9.256693,13.75,2.19363,-11.450323,0.406,179.241608,69.81546,102.163086,2.78,2.45,0.33,0.38
p53,-2.102639,-12.200032,10.1,9.557351,-21.757383,0.3558,180.11496,62.303802,112.797668,3.3,2.3,1,0.43
p54,6.091665,-8.042468,14.13,-0.595471,-7.446997,0.4233,179.405884,72.282684,98.489441,3.14,2.35,0.79,0.38
p55,18.098064,6.305673,11.79,1.834187,4.471486,0.4434,180.274658,68.89151,86.478638,2.49,2.37,0.12,0.34
p56,5.729496,-9.493717,15.22,1.857333,-11.35105,0.4006,179.889984,68.507874,102.521179,2.64,2.42,0.22,0.38
p57,6.930004,-12.119888,19.05,-3.636365,-8.483523,0.4122,181.039337,71.643402,102.158875,1.98,2.42,0.44,0.39
p58,7.962391,-12.179872,20.14,-3.922005,-8.257867,0.4192,180.392303,73.184784,101.395447,2.31,2.23,0.08,0.4
p59,47.547844,36.698122,10.85,34.733986,1.964136,0.6467,187.342468,86.336548,47.157227,7.39,2.17,5.22,0.3
p60,45.265591,33.506001,11.76,26.088276,7.417725,0.6914,187.020233,92.840881,41.439331,4.09,2.53,1.56,0.26
p61,44.750393,32.930077,11.82,25.073528,7.856549,0.6913,187.237122,93.983002,41.965332,3.77,3.19,0.58,0.27
p62,44.03804,32.672754,11.37,26.714787,5.957967,0.6844,187.047455,92.449738,42.624817,4.23,3.51,0.72,0.25
p63,63.312611,52.113517,11.2,52.453762,-0.340245,0.5993,185.36972,70.108002,46.879578,2.67,1.94,0.73,0.35
p64,36.289001,25.944413,10.34,22.309847,3.634566,0.6879,188.350922,98.38031,44.628967,4.58,2.76,1.82,0.26
p65,39.471306,28.236335,11.23,24.325096,3.911239,0.6882,188.020355,96.781799,43.858704,4.31,1.96,2.35,0.29
p66,60.402039,47.874377,12.53,49.400326,-1.525949,0.5979,186.807648,72.761963,48.936096,2.76,2.41,0.35,0.36
p67,58.835312,48.037644,10.8,50.721676,-2.684032,0.5951,185.114045,71.429932,48.592712,2.88,2.15,0.73,0.36
p68,42.962334,30.540811,12.42,26.121819,4.418992,0.678,187.896271,93.871582,44.588257,4.09,3.69,0.4,0.27
