Port,Constraint,Budget,Edge,Clock,Slack,AvailTime,Exception
input0[63],set_input_delay,0.020,rise,_INN_superClk,0.602,0.000,
input0[63],set_input_delay,0.013,fall,_INN_superClk,0.596,0.000,
input0[62],set_input_delay,0.020,rise,_INN_superClk,0.582,0.000,
input0[62],set_input_delay,0.013,fall,_INN_superClk,0.595,0.000,
input0[61],set_input_delay,0.020,rise,_INN_superClk,0.587,0.000,
input0[61],set_input_delay,0.013,fall,_INN_superClk,0.588,0.000,
input0[60],set_input_delay,0.020,rise,_INN_superClk,0.583,0.000,
input0[60],set_input_delay,0.013,fall,_INN_superClk,0.574,0.000,
input0[59],set_input_delay,0.020,rise,_INN_superClk,0.573,0.000,
input0[59],set_input_delay,0.013,fall,_INN_superClk,0.574,0.000,
input0[58],set_input_delay,0.020,rise,_INN_superClk,0.596,0.000,
input0[58],set_input_delay,0.013,fall,_INN_superClk,0.600,0.000,
input0[57],set_input_delay,0.020,rise,_INN_superClk,0.601,0.000,
input0[57],set_input_delay,0.013,fall,_INN_superClk,0.597,0.000,
input0[56],set_input_delay,0.020,rise,_INN_superClk,0.596,0.000,
input0[56],set_input_delay,0.013,fall,_INN_superClk,0.592,0.000,
input0[55],set_input_delay,0.020,rise,_INN_superClk,0.594,0.000,
input0[55],set_input_delay,0.013,fall,_INN_superClk,0.588,0.000,
input0[54],set_input_delay,0.020,rise,_INN_superClk,0.592,0.000,
input0[54],set_input_delay,0.013,fall,_INN_superClk,0.586,0.000,
input0[53],set_input_delay,0.020,rise,_INN_superClk,0.593,0.000,
input0[53],set_input_delay,0.013,fall,_INN_superClk,0.591,0.000,
input0[52],set_input_delay,0.020,rise,_INN_superClk,0.593,0.000,
input0[52],set_input_delay,0.013,fall,_INN_superClk,0.589,0.000,
input0[51],set_input_delay,0.020,rise,_INN_superClk,0.583,0.000,
input0[51],set_input_delay,0.013,fall,_INN_superClk,0.583,0.000,
input0[50],set_input_delay,0.020,rise,_INN_superClk,0.598,0.000,
input0[50],set_input_delay,0.013,fall,_INN_superClk,0.592,0.000,
input0[49],set_input_delay,0.020,rise,_INN_superClk,0.593,0.000,
input0[49],set_input_delay,0.013,fall,_INN_superClk,0.587,0.000,
input0[48],set_input_delay,0.020,rise,_INN_superClk,0.582,0.000,
