Port,Constraint,Budget,Edge,Clock,Slack,AvailTime,Exception
input0[79],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.115,-0.899,
input0[79],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.207,-0.929,
input0[78],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.137,-0.899,
input0[78],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.235,-0.932,
input0[77],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.129,-0.899,
input0[77],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.218,-0.932,
input0[76],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.137,-0.896,
input0[76],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.235,-0.937,
input0[75],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.131,-0.899,
input0[75],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.221,-0.932,
input0[74],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.120,-0.899,
input0[74],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.215,-0.930,
input0[73],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.116,-0.899,
input0[73],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.209,-0.929,
input0[72],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.115,-0.899,
input0[72],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.207,-0.929,
input0[71],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.130,-0.899,
input0[71],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.220,-0.931,
input0[70],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.123,-0.899,
input0[70],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.215,-0.933,
input0[69],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.116,-0.899,
input0[69],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.208,-0.930,
input0[68],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.122,-0.899,
input0[68],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.216,-0.928,
input0[67],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.118,-0.899,
input0[67],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.211,-0.930,
input0[66],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.115,-0.899,
input0[66],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.204,-0.929,
input0[65],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.135,-0.899,
input0[65],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.225,-0.934,
input0[64],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.128,-0.899,
input0[64],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.221,-0.934,
input0[63],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.140,-0.896,
input0[63],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.234,-0.937,
input0[62],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.125,-0.899,
input0[62],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.214,-0.931,
input0[61],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.149,-0.899,
input0[61],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.237,-0.932,
input0[60],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.128,-0.899,
input0[60],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.220,-0.931,
input0[59],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.123,-0.899,
input0[59],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.216,-0.929,
input0[58],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.125,-0.899,
input0[58],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.214,-0.928,
input0[57],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.142,-0.899,
input0[57],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.247,-0.931,
input0[56],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.134,-0.896,
input0[56],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.233,-0.937,
input0[55],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.127,-0.899,
input0[55],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.215,-0.930,
input0[54],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.119,-0.899,
input0[54],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.208,-0.930,
input0[53],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.135,-0.899,
input0[53],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.222,-0.928,
input0[52],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.127,-0.899,
input0[52],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.217,-0.930,
input0[51],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.123,-0.899,
input0[51],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.219,-0.929,
input0[50],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.132,-0.899,
input0[50],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.233,-0.930,
input0[49],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.127,-0.899,
input0[49],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.217,-0.929,
input0[48],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.124,-0.899,
input0[48],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.220,-0.929,
