Port,Constraint,Budget,Edge,Clock,Slack,AvailTime,Exception
input[63],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.116,-0.899,
input[63],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.210,-0.929,
input[63],set_input_delay,0.963,rise,clk_v0_setuphold,0.440,-0.899,
input[63],set_input_delay,0.956,fall,clk_v0_setuphold,0.529,-0.929,
input[62],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.118,-0.899,
input[62],set_input_delay,0.902,fall,_INN_superClk_v0_setuphold,0.212,-0.930,
input[62],set_input_delay,0.966,rise,clk_v0_setuphold,0.543,-0.899,
input[62],set_input_delay,0.957,fall,clk_v0_setuphold,0.549,-0.930,
input[61],set_input_delay,0.894,rise,_INN_superClk_v0_setuphold,0.130,-0.899,
input[61],set_input_delay,0.902,fall,_INN_superClk_v0_setuphold,0.218,-0.929,
input[61],set_input_delay,0.963,rise,clk_v0_setuphold,0.459,-0.899,
input[61],set_input_delay,0.956,fall,clk_v0_setuphold,0.539,-0.929,
input[60],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.134,-0.899,
input[60],set_input_delay,0.902,fall,_INN_superClk_v0_setuphold,0.232,-0.934,
input[60],set_input_delay,0.961,rise,clk_v0_setuphold,0.460,-0.899,
input[60],set_input_delay,0.953,fall,clk_v0_setuphold,0.558,-0.934,
input[59],set_input_delay,0.895,rise,_INN_superClk_v0_setuphold,0.144,-0.899,
input[59],set_input_delay,0.904,fall,_INN_superClk_v0_setuphold,0.232,-0.932,
input[59],set_input_delay,0.962,rise,clk_v0_setuphold,0.481,-0.899,
input[59],set_input_delay,0.955,fall,clk_v0_setuphold,0.565,-0.932,
input[58],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.120,-0.899,
input[58],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.209,-0.928,
input[58],set_input_delay,0.964,rise,clk_v0_setuphold,0.456,-0.899,
input[58],set_input_delay,0.956,fall,clk_v0_setuphold,0.529,-0.928,
input[57],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.116,-0.899,
input[57],set_input_delay,0.902,fall,_INN_superClk_v0_setuphold,0.209,-0.929,
input[57],set_input_delay,0.965,rise,clk_v0_setuphold,0.457,-0.899,
input[57],set_input_delay,0.957,fall,clk_v0_setuphold,0.541,-0.929,
input[56],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.122,-0.899,
input[56],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.214,-0.930,
input[56],set_input_delay,0.963,rise,clk_v0_setuphold,0.476,-0.899,
input[56],set_input_delay,0.956,fall,clk_v0_setuphold,0.562,-0.930,
input[55],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.122,-0.899,
input[55],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.218,-0.930,
input[55],set_input_delay,0.962,rise,clk_v0_setuphold,0.440,-0.899,
input[55],set_input_delay,0.955,fall,clk_v0_setuphold,0.535,-0.930,
input[54],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.126,-0.899,
input[54],set_input_delay,0.902,fall,_INN_superClk_v0_setuphold,0.220,-0.933,
input[54],set_input_delay,0.961,rise,clk_v0_setuphold,0.440,-0.899,
input[54],set_input_delay,0.955,fall,clk_v0_setuphold,0.545,-0.933,
input[53],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.124,-0.899,
input[53],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.216,-0.931,
input[53],set_input_delay,0.960,rise,clk_v0_setuphold,0.433,-0.899,
input[53],set_input_delay,0.954,fall,clk_v0_setuphold,0.517,-0.931,
input[52],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.124,-0.899,
input[52],set_input_delay,0.902,fall,_INN_superClk_v0_setuphold,0.217,-0.930,
input[52],set_input_delay,0.963,rise,clk_v0_setuphold,0.451,-0.899,
input[52],set_input_delay,0.955,fall,clk_v0_setuphold,0.540,-0.930,
input[51],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.131,-0.898,
input[51],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.223,-0.935,
input[51],set_input_delay,0.961,rise,clk_v0_setuphold,0.457,-0.898,
input[51],set_input_delay,0.953,fall,clk_v0_setuphold,0.546,-0.935,
input[50],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.120,-0.899,
input[50],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.215,-0.928,
input[50],set_input_delay,0.960,rise,clk_v0_setuphold,0.431,-0.899,
input[50],set_input_delay,0.954,fall,clk_v0_setuphold,0.526,-0.928,
input[49],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.124,-0.899,
input[49],set_input_delay,0.902,fall,_INN_superClk_v0_setuphold,0.219,-0.931,
input[49],set_input_delay,0.963,rise,clk_v0_setuphold,0.447,-0.899,
input[49],set_input_delay,0.955,fall,clk_v0_setuphold,0.550,-0.931,
input[48],set_input_delay,0.893,rise,_INN_superClk_v0_setuphold,0.136,-0.899,
input[48],set_input_delay,0.904,fall,_INN_superClk_v0_setuphold,0.230,-0.933,
input[48],set_input_delay,0.962,rise,clk_v0_setuphold,0.462,-0.899,
input[48],set_input_delay,0.955,fall,clk_v0_setuphold,0.554,-0.933,
input[47],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.118,-0.899,
input[47],set_input_delay,0.900,fall,_INN_superClk_v0_setuphold,0.207,-0.928,
input[47],set_input_delay,0.962,rise,clk_v0_setuphold,0.435,-0.899,
input[47],set_input_delay,0.955,fall,clk_v0_setuphold,0.509,-0.928,
input[46],set_input_delay,0.894,rise,_INN_superClk_v0_setuphold,0.144,-0.899,
input[46],set_input_delay,0.902,fall,_INN_superClk_v0_setuphold,0.237,-0.933,
input[46],set_input_delay,0.961,rise,clk_v0_setuphold,0.494,-0.899,
input[46],set_input_delay,0.953,fall,clk_v0_setuphold,0.567,-0.933,
input[45],set_input_delay,0.893,rise,_INN_superClk_v0_setuphold,0.131,-0.899,
input[45],set_input_delay,0.903,fall,_INN_superClk_v0_setuphold,0.232,-0.933,
input[45],set_input_delay,0.963,rise,clk_v0_setuphold,0.471,-0.899,
input[45],set_input_delay,0.954,fall,clk_v0_setuphold,0.554,-0.933,
input[44],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.126,-0.899,
input[44],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.220,-0.932,
input[44],set_input_delay,0.963,rise,clk_v0_setuphold,0.490,-0.899,
input[44],set_input_delay,0.955,fall,clk_v0_setuphold,0.567,-0.932,
